model,epoch,train_loss,val_loss
DINOv3 + DPT,121,0.261195,0.297301
DINOv3 + DPT,122,0.261407,0.297769
DINOv3 + DPT,123,0.277821,0.300835
DINOv3 + DPT,124,0.255217,0.298836
DINOv3 + DPT,125,0.272754,0.297829
DINOv3 + DPT,126,0.257206,0.303635
DINOv3 + DPT,127,0.264784,0.297028
DINOv3 + DPT,128,0.272181,0.296868
DINOv3 + DPT,129,0.274633,0.298764
DINOv3 + DPT,130,0.254123,0.298120
DINOv3 + DPT,131,0.264073,0.295680
DINOv3 + DPT,132,0.280683,0.297668
DINOv2 + DPT,0,3.109650,3.035197
DINOv2 + DPT,1,2.627219,2.456599
DINOv2 + DPT,2,2.336008,2.170576
DINOv2 + DPT,3,2.042082,1.911685
DINOv2 + DPT,4,1.809520,1.741868
DINOv2 + DPT,5,1.611619,1.514381
DINOv2 + DPT,6,1.474732,1.347005
DINOv2 + DPT,7,1.307770,1.189068
DINOv2 + DPT,8,1.191867,1.117471
DINOv2 + DPT,9,1.100973,0.998557
DINOv2 + DPT,10,1.004375,0.942289
DINOv2 + DPT,11,0.893584,0.857021
DINOv2 + DPT,12,0.829616,0.781946
DINOv2 + DPT,13,0.795449,0.728371
DINOv2 + DPT,14,0.751379,0.682559
DINOv2 + DPT,15,0.697137,0.633471
DINOv2 + DPT,16,0.664978,0.617403
DINOv2 + DPT,17,0.649624,0.573664
DINOv2 + DPT,18,0.606139,0.553943
DINOv2 + DPT,19,0.588861,0.531020
DINOv2 + DPT,20,0.561608,0.497939
DINOv2 + DPT,21,0.547526,0.485210
DINOv2 + DPT,22,0.509540,0.471102
DINOv2 + DPT,23,0.543778,0.455002
DINOv2 + DPT,24,0.492886,0.442173
DINOv2 + DPT,25,0.459135,0.457739
DINOv2 + DPT,26,0.449658,0.430942
DINOv2 + DPT,27,0.444090,0.416381
DINOv2 + DPT,28,0.432479,0.407577
DINOv2 + DPT,29,0.433786,0.400941
DINOv2 + DPT,30,0.420642,0.409093
DINOv2 + DPT,31,0.410776,0.402389
DINOv2 + DPT,32,0.416618,0.371963
DINOv2 + DPT,33,0.400915,0.375776
DINOv2 + DPT,34,0.436642,0.369196
DINOv2 + DPT,35,0.413007,0.361810
DINOv2 + DPT,36,0.373888,0.360146
DINOv2 + DPT,37,0.376858,0.352314
DINOv2 + DPT,38,0.388337,0.353875
DINOv2 + DPT,39,0.392427,0.354736
DINOv2 + DPT,40,0.365511,0.342410
DINOv2 + DPT,41,0.341526,0.337317
DINOv2 + DPT,42,0.347781,0.345531
DINOv2 + DPT,43,0.372640,0.331964
DINOv2 + DPT,44,0.365729,0.331544
DINOv2 + DPT,45,0.336125,0.328153
DINOv2 + DPT,46,0.326596,0.331990
DINOv2 + DPT,47,0.341449,0.326538
DINOv2 + DPT,48,0.327695,0.320033
DINOv2 + DPT,49,0.367765,0.325806
DINOv2 + DPT,50,0.347848,0.316606
DINOv2 + DPT,51,0.354628,0.316959
DINOv2 + DPT,52,0.334308,0.310123
DINOv2 + DPT,53,0.319261,0.313113
