Sample,Genotype,x_axis,Endodermis_TRITC_thresholded_raw_mean,Endodermis_FITC_thresholded_raw_mean,Exodermis_TRITC_thresholded_raw_mean,Exodermis_FITC_thresholded_raw_mean
Experiment_4_PDB161_03,Teshale,PDB161,1.675933486,1.451473951,1.493152027,1.977196833
Experiment_4_PDB161_04,Teshale,PDB161,1.494139023,1.221509441,1.335895308,1.626976985
Experiment_4_PDB161_05,Teshale,PDB161,1.44456693,1.201924014,1.190893707,1.798804563
Experiment_4_PDB161_06,Teshale,PDB161,1.634125456,1.269014972,1.534035267,1.309780306
Experiment_4_PDB161_07,Teshale,PDB161,1.621680081,1.500673723,1.457729941,1.335760842
Experiment_4_PDB161_08,Teshale,PDB161,1.5126901,1.137506002,1.326426531,2.327851879
Experiment_4_PDB161_09,Teshale,PDB161,1.690172047,1.396577125,1.583521344,2.127305093
Experiment_4_PDB161_10,Teshale,PDB161,1.474259479,1.042174786,1.398609061,1.967972738
Experiment_4_PDB161_11,Teshale,PDB161,1.78413719,1.329005937,1.553358897,2.533463434
Experiment_4_PDB161_12,Teshale,PDB161,1.769324983,1.484950807,1.575138556,1.980717732
Experiment_4_PDB161_13,Teshale,PDB161,1.800796936,1.195183721,1.602716017,1.681505673
Experiment_4_PDB161_14,Teshale,PDB161,1.492264142,1.301419827,1.293521388,2.385379673
Experiment_4_PDB161_15,Teshale,PDB161,1.456399534,1.182639865,1.351592163,2.187273855
Experiment_4_PDB161_16,Teshale,PDB161,2.091554815,1.665668177,1.84988627,2.147504646
Experiment_4_PDB161_17,Teshale,PDB161,1.615486014,1.370154963,1.365041472,2.241813668
Experiment_4_PDB161_18,Teshale,PDB161,1.186286579,1.451169167,1.058049476,1.511545629
Experiment_4_PDB161_19,Teshale,PDB161,1.232266965,0.943497692,1.112528566,1.717527576
Experiment_4_PDB161_20,Teshale,PDB161,1.790405838,1.090453916,1.435047113,1.997140681
Experiment_4_PDB161_21,Teshale,PDB161,1.84295131,1.109760984,1.912974534,1.970233471
Experiment_4_PDB161_22,Teshale,PDB161,1.513804714,1.132299873,1.376728803,1.542535306
Experiment_4_PDB161_23,Teshale,PDB161,1.37922018,1.171166303,1.187485793,1.422755488
Experiment_4_PDB161_24,Teshale,PDB161,1.465228304,0.979630326,1.628218772,1.809956548
Experiment_4_PDB161_25,Teshale,PDB161,1.478545097,1.367650722,1.553536805,2.561682359
Experiment_4_PDB161_26,Teshale,PDB161,1.054317632,1.413953836,1.124369013,1.637677825
Experiment_4_PDB161_27,Teshale,PDB161,1.440905976,1.242830903,1.39354143,1.512607387
Experiment_4_PDB161_28,Teshale,PDB161,1.635919197,1.210678072,1.530390907,1.160708122
Experiment_4_PDB161_29,Teshale,PDB161,1.057728609,1.441600885,1.017602454,1.927771668
Experiment_9_Control_33,Teshale,Control,1.174544014,1.138400691,0.966030806,1.046381205
Experiment_9_Control_34,Teshale,Control,0.973318315,0.929945557,1.192118148,0.981171856
Experiment_9_Control_35,Teshale,Control,1.267079213,1.076257585,1.160437157,1.160142388
Experiment_9_Control_36,Teshale,Control,1.072426734,1.072389284,1.236733705,1.3502298
Experiment_9_Control_37,Teshale,Control,1.031587663,0.802764448,1.156260384,1.050282901
Experiment_9_Control_38,Teshale,Control,0.892451657,0.816665667,0.913657914,0.842198452
Experiment_9_Control_39,Teshale,Control,0.700216504,0.752587728,0.932162826,0.736031023
Experiment_9_Control_40,Teshale,Control,1.069926358,1.019763028,1.265114356,1.260678308
Experiment_9_Control_41,Teshale,Control,1.050626217,0.958248717,1.020096669,0.88528516
Experiment_9_Control_42,Teshale,Control,1.198006429,0.921793721,0.962991227,0.909874295
Experiment_9_Control_43,Teshale,Control,1.072667479,1.009679652,0.880507655,0.82337277
Experiment_9_Control_44,Teshale,Control,0.75291092,1.147514761,0.770317346,0.941423321
Experiment_9_Control_45,Teshale,Control,1.006225635,1.103343088,0.760052152,0.933519517
Experiment_9_Control_46,Teshale,Control,1.084987467,0.89163961,0.940708117,0.820331468
Experiment_9_Control_47,Teshale,Control,0.805230582,1.288817722,0.98095853,1.070522085
Experiment_9_Control_48,Teshale,Control,0.847794813,1.070188743,0.861853009,1.188555451
Experiment_9_Minimedusa_01,Teshale,Minimedusa,1.095512238,0.672422491,1.432383177,1.25933864
Experiment_9_Minimedusa_02,Teshale,Minimedusa,0.603696882,0.812558815,0.950310241,1.149412089
Experiment_9_Minimedusa_03,Teshale,Minimedusa,0.869242659,0.737604798,1.144199092,1.41525558
Experiment_9_Minimedusa_04,Teshale,Minimedusa,0.840933103,0.894607705,1.139924866,1.223883113
Experiment_9_Minimedusa_05,Teshale,Minimedusa,0.937115388,1.124341349,1.473604388,2.593022042
Experiment_9_Minimedusa_06,Teshale,Minimedusa,0.831095495,0.797478425,1.20921383,2.474680738
Experiment_9_Minimedusa_07,Teshale,Minimedusa,0.578931713,0.821034047,0.843991346,1.222379902
Experiment_9_Minimedusa_08,Teshale,Minimedusa,1.038299526,0.846200866,1.645255803,2.847111734
Experiment_9_Minimedusa_09,Teshale,Minimedusa,0.695792046,0.812024428,1.049183839,1.393378038
Experiment_9_Minimedusa_10,Teshale,Minimedusa,0.988038414,0.956770415,1.197068155,1.347058812
Experiment_9_Minimedusa_11,Teshale,Minimedusa,1.184120034,0.740964504,1.374637574,1.569431783
Experiment_9_Minimedusa_12,Teshale,Minimedusa,0.913677489,0.942821309,1.38422591,2.498750477
Experiment_9_Minimedusa_13,Teshale,Minimedusa,0.785039627,0.809563804,0.992039042,1.319200316
Experiment_9_Minimedusa_14,Teshale,Minimedusa,0.62150104,0.946759512,0.866836194,1.178794113
Experiment_9_Minimedusa_15,Teshale,Minimedusa,0.903079539,1.120470396,1.241739225,1.304859949
Experiment_9_Minimedusa_16,Teshale,Minimedusa,0.90230717,0.769028632,1.307811513,1.35125665
Experiment_9_Minimedusa_17,Teshale,Minimedusa,1.006380531,0.619859709,1.443670517,1.777828174
Experiment_9_Minimedusa_18,Teshale,Minimedusa,0.859394124,0.609684939,0.90662699,1.504940908
Experiment_9_Minimedusa_19,Teshale,Minimedusa,1.241266177,0.904416936,1.668094332,1.935309928
Experiment_9_Minimedusa_20,Teshale,Minimedusa,0.960392148,0.706933574,1.217475882,1.261580643
Experiment_9_Minimedusa_21,Teshale,Minimedusa,1.187946897,0.801839574,1.914385303,1.380241026
