group,sample_id,Unified,Monocot,Dicot
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_06,0.871114,0.886657,0.634171
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_07,0.861771,0.839929,0.569657
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_01,0.644914,0.642314,0.345786
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_02,0.702843,0.721314,0.388586
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_03,0.657529,0.670371,0.388657
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_04,0.661600,0.681457,0.400029
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_05,0.748643,0.736843,0.373329
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_01,0.801486,0.810986,0.607533
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_03,0.895050,0.898417,0.746467
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_04,0.786457,0.763786,0.500586
