microscope,split,sample_id,species,mean_IoU
Zeiss,zero-shot,Rice_Zeiss_Exp3_Image_38,Rice,0.8436
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_39,Rice,0.8576
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_51,Rice,0.8608
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_34,Rice,0.8668
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_60,Rice,0.8663
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_41,Rice,0.8706
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_53,Rice,0.8727
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_63,Rice,0.8752
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_43,Rice,0.8754
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_40,Rice,0.8801
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_65,Rice,0.8805
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_52,Rice,0.8818
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_61,Rice,0.8842
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_57,Rice,0.8887
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_45,Rice,0.8907
Zeiss,zero-shot,Rice_Zeiss_Exp3_Image_49,Rice,0.8921
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_59,Rice,0.8947
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_56,Rice,0.8956
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_50,Rice,0.8988
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_37,Rice,0.9004
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_54,Rice,0.9041
Zeiss,zero-shot,Rice_Zeiss_Exp2_Image_55,Rice,0.9035
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_48,Rice,0.9066
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_58,Rice,0.9085
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_62,Rice,0.9085
Zeiss,zero-shot,Rice_Zeiss_Exp2_Image_47,Rice,0.9097
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_44,Rice,0.9106
Zeiss,zero-shot,Rice_Zeiss_Exp1_Image_42,Rice,0.9127
Zeiss,zero-shot,Rice_Zeiss_Exp2_Image_66,Rice,0.9134
