species,GT_aerenchyma_ratio,GT_exodermis_TRITC,GT_exodermis_FITC,GT_endodermis_TRITC,GT_endodermis_FITC,Pred_aerenchyma_ratio,Pred_exodermis_TRITC,Pred_exodermis_FITC,Pred_endodermis_TRITC,Pred_endodermis_FITC
Millet,0.012534,1396.980957,1232.044312,4989.67041,11326.86816,0.002014,1392.926636,1245.432739,5022.930176,11709.35938
Millet,0.002606,1936.718872,1759.682739,8736.119141,8640.103516,0.0,1944.987183,1732.127441,8769.443359,8483.691406
Millet,0.00522,1680.344238,1254.320435,6624.91748,7054.705078,0.004847,1696.580322,1229.139648,6661.0,7025.666016
Millet,0.033759,1498.087036,1067.562256,5943.97168,9825.807617,0.006889,1491.541138,1070.983276,5974.999023,10157.21582
Millet,0.02227,1698.401489,939.425415,7076.791016,7176.259277,0.004862,1691.305786,924.793213,7045.40625,7178.21582
Rice,0.21284,6297.523438,5818.447266,8300.655273,23723.98047,0.201769,6264.706055,5826.556641,8320.188477,23358.49805
Rice,0.211559,7723.304199,6822.027832,10116.5127,21841.93555,0.203128,7712.786621,6825.618164,10521.23438,21602.05859
Rice,0.214204,6155.874512,6327.358398,7978.741699,20602.41211,0.219504,6141.674316,6328.579102,8017.455078,20531.5293
Rice,0.005739,11469.34082,7970.199219,8331.737305,26249.08594,0.004348,11557.39551,7960.883301,8408.882812,25860.6582
Rice,0.020558,9074.602539,8436.282227,7404.905273,29032.65625,0.006964,9098.067383,8442.787109,7238.305176,29185.93359
Rice,0.016297,9041.323242,11926.47754,7233.495605,28407.2793,0.014028,9079.733398,12013.63379,7107.694336,27990.61914
Rice,0.149888,10019.29395,6329.07373,13150.36816,6436.821777,0.131547,10160.125,6398.220215,13349.60156,6475.708008
Rice,0.198205,8450.511719,6384.984863,10913.64648,8090.135254,0.180365,8549.232422,6362.620605,11230.76172,7963.849121
Rice,0.130585,6982.977051,6281.769043,10056.26758,7780.186035,0.116189,7086.358398,6436.617188,10124.66699,7667.645996
Rice,0.164481,5255.18457,3324.409912,6907.467773,3734.052734,0.148243,5131.020996,3418.845215,6832.277832,3666.267822
Rice,0.046638,5569.385742,7566.362793,6346.248535,10424.3252,0.025483,5609.589355,7552.444824,6543.048828,10371.43164
Rice,0.162978,7460.22998,7883.715332,8986.220703,8358.689453,0.152425,7370.38623,8079.359375,8853.773438,8217.828125
Rice,0.165613,5920.715332,4764.614746,6448.836426,4363.388184,0.157988,5845.13916,4811.613281,6349.360352,4304.074219
Rice,0.137143,7052.689453,9463.105469,8645.751953,9662.290039,0.15964,7005.515137,9527.222656,8580.014648,9563.586914
Rice,0.091408,6350.334961,6471.762695,6513.208984,5995.359863,0.098422,6321.989746,6466.621582,6615.833008,6015.879883
Rice,0.139746,9403.845703,9616.166016,9837.115234,8839.080078,0.142906,9331.455078,9705.094727,9796.960938,8726.799805
Rice,0.19538,8882.076172,10092.32129,11085.10156,8680.413086,0.220668,8739.708984,10254.69531,11140.98145,8573.680664
Rice,0.12834,8061.754883,9544.030273,10132.67285,8662.395508,0.152877,7968.51123,9779.249023,10012.22461,8582.874023
Rice,0.208353,5075.981445,10892.38574,5713.17334,9367.735352,0.217596,5025.763184,11122.94238,5773.933105,9437.137695
Rice,0.172287,7913.356934,5194.316895,10674.99902,4002.454346,0.208422,7866.205078,5221.628418,10501.7793,3950.991699
