sample_id,species,microscope,experiment,Epidermis_IoU,Epidermis_Dice,Exodermis_IoU,Exodermis_Dice,Cortex_IoU,Cortex_Dice,Aerenchyma_IoU,Aerenchyma_Dice,Endodermis_IoU,Endodermis_Dice,Vascular_IoU,Vascular_Dice,mean_IoU,mean_Dice,split
Sorghum_Olympus_Exp59_1_01,Sorghum,Olympus,Exp59,0.8454,0.9162,0.9285,0.9629,0.9902,0.9951,0.7739,0.8726,0.9351,0.9664,0.9893,0.9946,0.9104,0.9513,test
Rice_C10_Exp10_PSY9-4-b,Rice,C10,Exp10,0.8758,0.9338,0.8938,0.9439,0.979,0.9894,0.8897,0.9417,0.8673,0.9289,0.9597,0.9794,0.9109,0.9528,test
Sorghum_Olympus_Exp75_PDB161_06,Sorghum,Olympus,Exp75,0.8634,0.9267,0.9336,0.9657,0.9894,0.9947,0.7678,0.8687,0.928,0.9627,0.9838,0.9918,0.9110,0.9517,test
Sorghum_Olympus_Exp88_N3_11,Sorghum,Olympus,Exp88,0.8561,0.9225,0.9319,0.9647,0.9902,0.9951,0.7775,0.8748,0.9263,0.9617,0.9885,0.9942,0.9118,0.9522,test
Rice_Olympus_Exp11_Rhizotron_WT_1_01,Rice,Olympus,Exp11,0.8785,0.9353,0.9337,0.9657,0.9902,0.9951,0.7844,0.8792,0.9042,0.9497,0.9793,0.9895,0.9117,0.9524,test
Sorghum_Olympus_Exp100_LLC2960_07,Sorghum,Olympus,Exp100,0.8618,0.9258,0.9376,0.9678,0.9896,0.9948,0.7659,0.8675,0.9278,0.9626,0.9875,0.9937,0.9117,0.9520,test
Sorghum_Olympus_Exp88_N3_13,Sorghum,Olympus,Exp88,0.8809,0.9367,0.9384,0.9682,0.9905,0.9952,0.7372,0.8487,0.9379,0.9679,0.9896,0.9948,0.9124,0.9519,test
Sorghum_Olympus_Exp100_LLC2960_03,Sorghum,Olympus,Exp100,0.8621,0.9259,0.9354,0.9666,0.988,0.9939,0.7715,0.871,0.9315,0.9645,0.9881,0.994,0.9128,0.9526,test
Sorghum_Olympus_Exp74_PDB143_22,Sorghum,Olympus,Exp74,0.8598,0.9246,0.9402,0.9692,0.9911,0.9955,0.7708,0.8706,0.9261,0.9616,0.9891,0.9945,0.9129,0.9527,test
Sorghum_Olympus_Exp100_LLC2960_15,Sorghum,Olympus,Exp100,0.8586,0.9239,0.942,0.9701,0.991,0.9955,0.7457,0.8543,0.9481,0.9734,0.9904,0.9952,0.9126,0.9521,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_02,Rice,Olympus,Exp10,0.8742,0.9329,0.937,0.9675,0.9912,0.9956,0.7725,0.8716,0.9269,0.9621,0.9845,0.9922,0.9144,0.9536,test
Tomato_Olympus_Exp16_WT_23_03,Solanum,Olympus,Exp16,0.7695,0.8698,0.9267,0.962,0.9693,0.9844,,,0.9257,0.9614,0.9833,0.9916,0.9149,0.9538,test
